Device: cuda
/home/hailong/miniforge3/envs/USEF-TFGridNet/lib/python3.8/site-packages/torch/nn/utils/weight_norm.py:134: FutureWarning: `torch.nn.utils.weight_norm` is deprecated in favor of `torch.nn.utils.parametrizations.weight_norm`.
  WeightNorm.apply(module, name, dim)
Generator params: 7.81M
Discriminator params: 70.72M
Starting training from step 0 (phase 1)
step       0 | phase 1 | loss_G 13.2645 | sep 4.3593 | stft 2.2102 | l1 0.0673 | amp 0.4873 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 2.35 | rss 1342MB | 1.05s
step     100 | phase 1 | loss_G 14.9431 | sep 10.4545 | stft 1.9313 | l1 0.1184 | amp 2.1638 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 2.59 | rss 1392MB | 0.51s
step     200 | phase 1 | loss_G 12.8201 | sep 7.4420 | stft 1.8068 | l1 0.1300 | amp 1.2223 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 2.30 | rss 1392MB | 0.51s
step     300 | phase 1 | loss_G 16.3129 | sep 7.9877 | stft 2.4541 | l1 0.0971 | amp 1.1851 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 2.83 | rss 1392MB | 0.51s
step     400 | phase 1 | loss_G 11.1704 | sep 4.8934 | stft 1.7378 | l1 0.0694 | amp 0.6263 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 2.21 | rss 1392MB | 0.51s
step     500 | phase 1 | loss_G 12.7624 | sep 5.0052 | stft 2.0444 | l1 0.0759 | amp 0.9799 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 2.06 | rss 1392MB | 0.51s
step     600 | phase 1 | loss_G 15.2850 | sep 5.6683 | stft 2.4798 | l1 0.1040 | amp 0.5751 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 2.12 | rss 1392MB | 0.51s
step     700 | phase 1 | loss_G 21.9595 | sep 12.4765 | stft 3.1294 | l1 0.1482 | amp 2.6727 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 4.17 | rss 1392MB | 0.51s
step     800 | phase 1 | loss_G 6.6901 | sep 1.1083 | stft 1.2197 | l1 0.0751 | amp 0.2237 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.45 | rss 1392MB | 0.49s
step     900 | phase 1 | loss_G 10.1435 | sep 3.7617 | stft 1.6428 | l1 0.0971 | amp 0.3922 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.79 | rss 1392MB | 0.51s
step    1000 | phase 1 | loss_G 9.0529 | sep 2.4067 | stft 1.5622 | l1 0.0768 | amp 0.2418 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.63 | rss 1392MB | 0.51s
step    1100 | phase 1 | loss_G 90.2999 | sep 62.9899 | stft 11.7545 | l1 0.0645 | amp 138.3622 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 16.38 | rss 1392MB | 0.51s
step    1200 | phase 1 | loss_G 11.8110 | sep 4.9292 | stft 1.8615 | l1 0.0776 | amp 0.8207 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.93 | rss 1392MB | 0.51s
step    1300 | phase 1 | loss_G 16.3938 | sep 8.5562 | stft 2.4167 | l1 0.0644 | amp 1.4013 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.89 | rss 1392MB | 0.51s
step    1400 | phase 1 | loss_G 12.7914 | sep 6.8381 | stft 1.8685 | l1 0.0599 | amp 1.0748 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.99 | rss 1392MB | 0.51s
step    1500 | phase 1 | loss_G 13.3788 | sep 6.3003 | stft 2.0344 | l1 0.1131 | amp 0.7171 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 2.31 | rss 1392MB | 0.51s
step    1600 | phase 1 | loss_G 10.7913 | sep 5.6455 | stft 1.5832 | l1 0.1054 | amp 0.6191 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.99 | rss 1392MB | 0.49s
step    1700 | phase 1 | loss_G 9.4696 | sep 4.6751 | stft 1.4197 | l1 0.0671 | amp 0.4834 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.73 | rss 1392MB | 0.51s
step    1800 | phase 1 | loss_G 11.6357 | sep 4.0772 | stft 1.9088 | l1 0.1062 | amp 0.5194 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.88 | rss 1392MB | 0.51s
step    1900 | phase 1 | loss_G 4.8790 | sep -0.8950 | stft 1.0578 | l1 0.0754 | amp 0.0806 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.33 | rss 1392MB | 0.51s
step    2000 | phase 1 | loss_G 9.0482 | sep 2.6512 | stft 1.5353 | l1 0.0926 | amp 0.2500 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.64 | rss 1392MB | 0.51s
step    2100 | phase 1 | loss_G 22.6833 | sep 11.6349 | stft 3.3605 | l1 0.1269 | amp 1.8572 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 3.75 | rss 1392MB | 0.51s
step    2200 | phase 1 | loss_G 7.7836 | sep 2.2136 | stft 1.3267 | l1 0.0871 | amp 0.3051 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.75 | rss 1392MB | 0.51s
step    2300 | phase 1 | loss_G 8.8847 | sep 1.7948 | stft 1.5898 | l1 0.0766 | amp 0.2225 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.54 | rss 1392MB | 0.51s
step    2400 | phase 1 | loss_G 11.8344 | sep 6.6838 | stft 1.6886 | l1 0.0987 | amp 0.7822 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 2.17 | rss 1392MB | 0.49s
step    2500 | phase 1 | loss_G 10.1643 | sep 4.6245 | stft 1.5654 | l1 0.0496 | amp 0.4257 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.91 | rss 1392MB | 0.51s
step    2600 | phase 1 | loss_G 17.5757 | sep 10.8535 | stft 2.4225 | l1 0.0733 | amp 1.7780 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 2.91 | rss 1392MB | 0.51s
step    2700 | phase 1 | loss_G 19.0686 | sep 9.9107 | stft 2.8108 | l1 0.1188 | amp 1.5723 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 3.42 | rss 1392MB | 0.51s
step    2800 | phase 1 | loss_G 10.1082 | sep 4.1158 | stft 1.6022 | l1 0.0787 | amp 0.3694 | adv 0.0000 | fm 0.0000 | D 0.0000 | rms 1.83 | rss 1392MB | 0.51s
